,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
0,1,Victor Page,30.0,30.0,32.3,7.8,20.6,0.378,5.3,13.8,0.381,2.5,6.8,0.373,4.6,6.3,0.726,,,4.1,2.2,2.3,0.4,3.6,2.7,22.7,georgetown,1997
1,2,Ed Sheffey,30.0,29.0,27.0,3.0,8.5,0.349,1.8,4.6,0.388,1.2,3.9,0.302,1.6,2.2,0.738,,,2.5,3.5,1.4,0.1,,2.2,8.7,georgetown,1997
2,3,Cheikh Ya-Ya Dia,30.0,30.0,32.2,3.6,8.5,0.418,3.6,8.5,0.418,0.0,0.0,,1.0,1.6,0.617,,,10.1,1.8,0.6,2.3,2.0,2.3,8.1,georgetown,1997
3,4,Boubacar Aw,30.0,30.0,20.7,3.0,5.5,0.539,3.0,5.5,0.543,0.0,0.0,0.0,1.4,2.6,0.544,,,5.0,1.2,1.3,0.3,1.6,2.0,7.4,georgetown,1997
4,5,Jahidi White,30.0,30.0,20.2,2.8,5.5,0.512,2.8,5.5,0.512,0.0,0.0,,1.7,3.4,0.485,,,6.4,0.5,0.5,2.0,2.2,3.3,7.3,georgetown,1997
5,6,Daymond Jackson,30.0,0.0,16.2,1.9,4.1,0.455,1.9,4.1,0.459,0.0,0.0,0.0,1.6,2.8,0.578,,,3.0,0.7,1.2,0.1,1.1,1.7,5.3,georgetown,1997
6,7,Shernard Long,30.0,0.0,16.8,1.6,4.7,0.345,1.4,3.6,0.394,0.2,1.1,0.182,1.1,1.8,0.593,,,2.7,1.0,1.1,0.2,1.3,2.2,4.5,georgetown,1997
7,8,Jameel Watkins,27.0,0.0,9.0,1.0,2.3,0.452,1.0,2.3,0.452,0.0,0.0,,0.6,1.4,0.405,,,2.7,0.1,0.4,0.9,0.4,1.3,2.6,georgetown,1997
8,9,Jerry Nichols,16.0,0.0,5.2,0.4,1.7,0.259,0.4,0.9,0.467,0.0,0.8,0.0,0.4,0.8,0.5,,,0.8,0.3,0.2,0.1,0.4,0.4,1.3,georgetown,1997
9,10,Rhese Gibson,16.0,0.0,6.6,0.5,1.1,0.444,0.5,1.1,0.444,0.0,0.0,,0.1,0.3,0.5,,,1.4,0.1,0.3,0.2,0.3,0.6,1.1,georgetown,1997
10,11,Shamel Jones,30.0,0.0,7.4,0.5,1.9,0.241,0.5,1.7,0.269,0.0,0.2,0.0,0.2,0.6,0.263,,,2.2,0.3,0.3,0.3,0.6,0.6,1.1,georgetown,1997
11,12,Dean Berry,5.0,0.0,5.0,0.4,1.6,0.25,0.4,1.2,0.333,0.0,0.4,0.0,0.2,0.4,0.5,,,0.4,0.8,0.2,0.0,1.0,0.0,1.0,georgetown,1997
