,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
6,7,Henry Sims,32.0,1.0,14.0,1.5,2.6,0.578,1.5,2.6,0.585,0.0,0.0,0.0,0.6,1.2,0.5,0.8,2.3,3.2,1.2,0.3,0.7,1.1,2.1,3.6,georgetown,2011
7,8,Vee Sanford,27.0,0.0,6.4,0.9,1.7,0.522,0.4,1.0,0.462,0.4,0.7,0.6,0.2,0.2,1.0,0.1,0.7,0.9,0.4,0.4,0.1,0.4,0.7,2.4,georgetown,2011
8,9,Moses Abraham,6.0,0.0,4.3,0.3,0.5,0.667,0.3,0.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.0,0.5,0.5,0.3,0.5,0.3,0.5,0.3,1.7,georgetown,2011
9,10,Markel Starks,30.0,0.0,9.7,0.6,2.0,0.283,0.3,0.8,0.32,0.3,1.2,0.257,0.1,0.2,0.6,0.2,0.4,0.6,0.7,0.3,0.0,0.6,1.1,1.5,georgetown,2011
10,11,Jerrelle Benimon,32.0,0.0,10.2,0.5,1.2,0.459,0.5,0.8,0.615,0.0,0.3,0.091,0.3,0.4,0.615,0.7,1.1,1.8,0.4,0.3,0.5,0.8,1.7,1.3,georgetown,2011
11,12,Aaron Bowen,7.0,0.0,3.4,0.4,1.3,0.333,0.4,0.6,0.75,0.0,0.7,0.0,0.1,0.7,0.2,0.0,0.6,0.6,0.0,0.0,0.1,0.4,0.4,1.0,georgetown,2011
12,13,John Caprio,4.0,0.0,1.5,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.5,1.0,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.5,georgetown,2011
13,14,Ryan Dougherty,7.0,0.0,1.3,0.1,0.1,1.0,0.1,0.1,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,georgetown,2011
0,1,Trey Thompkins,30.0,29.0,31.2,6.5,13.4,0.481,5.7,11.0,0.52,0.8,2.5,0.311,2.7,4.0,0.689,1.9,5.8,7.6,1.4,1.1,1.7,2.5,2.2,16.4,georgia,2011
1,2,Travis Leslie,33.0,33.0,32.2,5.4,10.9,0.492,5.0,9.6,0.517,0.4,1.3,0.302,3.3,4.1,0.801,3.2,4.0,7.2,2.9,1.2,0.6,2.2,1.9,14.4,georgia,2011
2,3,Gerald Robinson,33.0,32.0,32.4,4.6,10.4,0.442,3.7,7.3,0.502,0.9,3.1,0.301,2.0,2.8,0.71,0.8,2.0,2.7,4.0,1.3,0.1,3.0,2.4,12.2,georgia,2011
3,4,Jeremy Price,33.0,32.0,23.3,3.3,6.8,0.489,3.3,6.8,0.489,0.0,0.0,,2.7,3.5,0.765,1.5,3.5,5.0,0.6,0.6,0.8,1.8,3.1,9.3,georgia,2011
4,5,Dustin Ware,33.0,33.0,33.2,2.3,5.2,0.442,0.6,1.2,0.463,1.7,4.0,0.435,1.6,2.0,0.806,0.2,2.7,2.9,3.5,0.9,0.1,1.2,1.5,8.0,georgia,2011
5,6,Chris Barnes,32.0,3.0,17.9,1.2,2.7,0.448,1.2,2.7,0.448,0.0,0.0,,0.9,1.7,0.519,1.6,2.1,3.7,0.4,0.3,0.8,0.8,1.7,3.3,georgia,2011
6,7,Sherrard Brantley,32.0,0.0,12.7,1.0,3.1,0.313,0.2,0.6,0.333,0.8,2.5,0.309,0.2,0.3,0.636,0.0,1.0,1.0,0.7,0.3,0.0,0.6,0.5,2.9,georgia,2011
7,8,Connor Nolte,23.0,3.0,10.0,0.6,1.5,0.412,0.4,1.0,0.417,0.2,0.4,0.4,0.3,0.7,0.533,0.6,1.1,1.7,0.5,0.4,0.3,0.3,1.3,1.7,georgia,2011
8,9,Marcus Thornton,32.0,0.0,9.4,0.6,1.6,0.353,0.5,1.3,0.372,0.1,0.3,0.25,0.3,0.8,0.417,0.7,1.2,1.9,0.4,0.3,0.6,0.7,0.9,1.5,georgia,2011
9,10,Donte Williams,30.0,0.0,6.0,0.2,0.9,0.269,0.2,0.9,0.269,0.0,0.0,,0.3,0.7,0.429,0.4,0.8,1.2,0.4,0.0,0.3,0.2,1.0,0.8,georgia,2011
10,11,Vincent Williams,20.0,0.0,5.7,0.3,1.1,0.238,0.2,0.8,0.267,0.1,0.3,0.167,0.1,0.5,0.222,0.0,0.4,0.4,0.7,0.2,0.0,0.4,0.9,0.7,georgia,2011
11,12,Matt Bucklin,9.0,0.0,1.9,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.0,,0.2,0.3,0.667,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.3,0.4,georgia,2011
0,1,Steven Gray,34.0,34.0,31.6,4.7,11.4,0.41,2.6,5.8,0.447,2.1,5.6,0.372,2.5,3.3,0.759,0.6,3.3,3.9,4.0,1.7,0.1,2.1,2.4,13.9,gonzaga,2011
1,2,Robert Sacre,35.0,35.0,25.9,3.9,8.1,0.488,3.9,8.1,0.489,0.0,0.0,0.0,4.7,5.7,0.823,2.5,3.9,6.3,1.1,0.8,1.9,2.1,2.7,12.5,gonzaga,2011
2,3,Elias Harris,34.0,33.0,26.0,4.5,8.8,0.517,4.0,7.3,0.551,0.5,1.5,0.353,2.8,3.6,0.772,1.8,4.2,6.0,1.3,0.6,0.4,1.8,2.1,12.4,gonzaga,2011
3,4,Sam Dower,35.0,0.0,14.1,3.0,5.2,0.575,2.9,4.9,0.59,0.1,0.2,0.25,1.6,2.0,0.812,1.2,2.1,3.3,0.3,0.4,0.7,0.8,1.7,7.6,gonzaga,2011
4,5,Marquise Carter,35.0,14.0,19.3,2.0,4.3,0.477,1.4,2.6,0.533,0.6,1.6,0.386,1.6,1.9,0.836,0.4,1.2,1.6,2.1,0.9,0.1,1.1,1.5,6.3,gonzaga,2011
5,6,Kelly Olynyk,35.0,4.0,13.5,2.1,3.7,0.574,1.8,2.9,0.608,0.3,0.8,0.444,1.2,1.9,0.618,1.3,2.5,3.8,0.7,0.3,0.1,1.2,1.6,5.8,gonzaga,2011
6,7,Demetri Goodson,35.0,35.0,22.7,1.9,4.5,0.409,1.7,3.8,0.439,0.2,0.8,0.259,1.3,1.8,0.73,0.6,2.2,2.8,2.6,0.7,0.1,1.6,1.8,5.2,gonzaga,2011
7,8,Manny Arop,28.0,8.0,15.8,1.8,3.9,0.455,1.2,2.4,0.507,0.6,1.5,0.372,0.4,0.9,0.462,1.3,1.7,2.9,0.5,0.4,0.1,0.9,1.1,4.6,gonzaga,2011
8,9,Mathis Monninghoff,30.0,8.0,13.4,1.4,3.1,0.457,0.3,0.7,0.45,1.1,2.4,0.458,0.4,0.5,0.688,0.4,1.1,1.5,0.4,0.1,0.1,0.4,1.0,4.3,gonzaga,2011
9,10,David Stockton,34.0,0.0,15.6,1.4,2.9,0.46,0.8,1.3,0.628,0.6,1.7,0.333,0.9,1.1,0.838,0.1,1.2,1.3,2.1,0.9,0.1,1.1,1.9,4.2,gonzaga,2011
10,11,Mathis Keita,23.0,4.0,9.4,1.0,1.7,0.575,0.9,1.3,0.667,0.1,0.4,0.3,0.5,0.8,0.632,0.2,1.0,1.2,0.7,0.5,0.0,0.6,1.0,2.7,gonzaga,2011
11,12,Mike Hart,31.0,0.0,5.0,0.2,0.6,0.333,0.2,0.5,0.429,0.0,0.1,0.0,0.3,0.4,0.667,0.4,0.7,1.1,0.2,0.2,0.1,0.2,0.5,0.6,gonzaga,2011
0,1,Darrion Pellum,32.0,32.0,36.6,5.9,15.1,0.388,3.6,8.3,0.431,2.3,6.8,0.336,3.4,4.8,0.714,0.7,3.6,4.3,2.0,1.7,0.3,2.9,2.2,17.5,hampton,2011
1,2,Kwame Morgan,33.0,33.0,33.3,5.1,13.6,0.371,2.0,5.4,0.379,3.0,8.3,0.366,2.9,3.6,0.8,1.2,3.2,4.5,1.3,1.5,0.1,1.3,1.6,16.1,hampton,2011
2,3,Charles Funches,33.0,33.0,32.0,3.5,8.3,0.42,3.3,7.8,0.419,0.2,0.5,0.438,3.5,5.1,0.689,2.2,5.6,7.8,1.2,1.3,1.0,2.4,3.3,10.7,hampton,2011
3,4,Brandon Tunnell,33.0,33.0,27.3,2.4,5.3,0.446,2.1,4.2,0.496,0.3,1.1,0.25,2.0,2.9,0.691,0.5,1.8,2.3,4.3,0.8,0.0,2.3,1.8,7.0,hampton,2011
4,5,Christopher Tolson,26.0,0.0,14.6,1.4,4.3,0.327,0.8,1.4,0.583,0.6,3.0,0.208,0.8,1.3,0.636,0.2,0.6,0.8,0.5,0.7,0.1,0.6,1.5,4.3,hampton,2011
5,6,Mike Tuitt,33.0,0.0,14.8,1.3,3.4,0.375,1.1,2.5,0.422,0.2,0.9,0.241,1.3,2.5,0.518,0.4,1.2,1.6,1.9,0.7,0.0,1.2,1.3,4.1,hampton,2011
6,7,Danny Agbelese,33.0,33.0,23.3,1.8,3.2,0.547,1.8,3.2,0.547,0.0,0.0,,0.5,1.6,0.321,2.1,3.9,6.0,0.3,0.4,3.1,0.5,2.8,4.0,hampton,2011
7,8,Wesley Dunning,32.0,1.0,10.3,0.8,2.0,0.415,0.8,1.8,0.456,0.0,0.3,0.125,0.3,0.7,0.5,0.9,1.7,2.6,0.3,0.3,0.3,0.7,1.6,2.1,hampton,2011
8,9,Koron Reed,31.0,0.0,9.4,0.7,1.2,0.611,0.7,1.2,0.611,0.0,0.0,,0.2,0.5,0.353,0.7,0.8,1.5,0.1,0.1,0.5,0.2,1.6,1.6,hampton,2011
9,10,Bakari Taylor,6.0,0.0,2.8,0.7,1.0,0.667,0.7,1.0,0.667,0.0,0.0,,0.0,0.0,,0.2,0.5,0.7,0.0,0.2,0.0,0.0,0.2,1.3,hampton,2011
10,11,Milade Lola-Charles,29.0,0.0,6.8,0.3,0.7,0.4,0.3,0.7,0.4,0.0,0.0,,0.2,0.4,0.455,0.8,0.6,1.3,0.0,0.1,0.3,0.6,1.3,0.7,hampton,2011
11,12,Travis McClenny,5.0,0.0,0.8,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.2,0.4,0.5,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,hampton,2011
0,1,Demetri McCamey,34.0,31.0,33.4,4.9,10.8,0.452,2.7,6.0,0.453,2.2,4.8,0.451,2.7,3.7,0.724,0.5,2.9,3.4,6.1,1.0,0.2,2.9,2.0,14.6,illinois,2011
1,2,Mike Davis,34.0,33.0,33.0,5.2,9.8,0.529,5.2,9.8,0.53,0.0,0.0,0.0,2.1,3.0,0.706,1.6,5.5,7.1,1.7,0.9,0.8,1.4,2.4,12.5,illinois,2011
2,3,Mike Tisdale,34.0,31.0,26.3,3.8,7.6,0.506,3.2,6.0,0.532,0.6,1.5,0.404,1.8,2.2,0.8,2.3,4.2,6.5,1.3,0.4,1.6,1.7,3.5,10.0,illinois,2011
3,4,Brandon Paul,34.0,10.0,22.4,2.9,7.3,0.399,1.6,3.8,0.434,1.3,3.5,0.361,1.9,2.5,0.767,0.6,2.5,3.1,2.1,1.1,0.4,1.8,1.9,9.0,illinois,2011
4,5,D.J. Richardson,34.0,29.0,26.8,3.0,7.2,0.415,1.4,3.0,0.456,1.6,4.2,0.385,0.7,1.0,0.758,0.3,1.5,1.8,1.9,0.7,0.2,1.1,1.9,8.4,illinois,2011
5,6,Jereme Richmond,31.0,5.0,22.1,3.4,6.4,0.528,3.3,6.0,0.551,0.1,0.4,0.167,0.8,1.4,0.605,1.7,3.3,5.0,1.8,0.4,0.4,1.7,1.6,7.6,illinois,2011
6,7,Bill Cole,34.0,24.0,20.7,1.7,3.7,0.46,0.8,1.1,0.667,0.9,2.6,0.368,0.5,0.7,0.783,0.9,1.6,2.5,1.3,0.6,0.5,0.4,1.9,4.9,illinois,2011
7,8,Meyers Leonard,33.0,1.0,8.2,0.8,1.8,0.483,0.8,1.7,0.491,0.0,0.0,0.0,0.4,0.5,0.706,0.3,0.9,1.2,0.2,0.2,0.4,0.8,1.5,2.1,illinois,2011
8,9,Tyler Griffey,26.0,0.0,6.4,0.5,1.6,0.333,0.4,1.2,0.323,0.2,0.4,0.364,0.4,0.6,0.667,0.4,0.7,1.2,0.0,0.2,0.1,0.5,0.8,1.6,illinois,2011
9,10,Crandall Head,18.0,1.0,5.8,0.5,1.2,0.429,0.4,0.7,0.615,0.1,0.4,0.125,0.2,0.3,0.667,0.1,0.2,0.2,0.7,0.2,0.0,0.7,0.4,1.3,illinois,2011
10,11,Joseph Bertrand,16.0,0.0,3.1,0.4,0.8,0.538,0.4,0.8,0.583,0.0,0.1,0.0,0.2,0.3,0.75,0.1,0.3,0.4,0.3,0.1,0.1,0.2,0.4,1.1,illinois,2011
11,12,Kevin Berardini,11.0,0.0,1.4,0.1,0.1,1.0,0.1,0.1,1.0,0.0,0.0,,0.4,0.5,0.667,0.1,0.2,0.3,0.1,0.1,0.0,0.2,0.2,0.5,illinois,2011
12,13,Jean Selus,7.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.1,0.3,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,illinois,2011
0,1,Dwayne Lathan,31.0,23.0,25.2,3.5,8.4,0.413,2.8,6.2,0.453,0.6,2.2,0.299,3.3,4.5,0.736,1.0,3.6,4.6,1.5,0.7,0.6,2.8,2.0,10.9,indiana state,2011
1,2,Carl Richard,33.0,32.0,30.2,3.6,8.7,0.411,2.8,6.3,0.435,0.8,2.4,0.346,1.6,1.9,0.813,2.4,4.1,6.5,1.4,0.8,0.4,2.4,2.2,9.5,indiana state,2011
2,3,Jake Odum,34.0,31.0,29.8,2.8,5.9,0.477,2.3,4.2,0.538,0.5,1.6,0.321,3.2,4.4,0.73,0.6,3.4,3.9,4.1,1.8,0.3,2.2,2.6,9.3,indiana state,2011
3,4,Jake Kelly,21.0,12.0,25.2,2.9,7.1,0.407,2.3,4.9,0.471,0.6,2.3,0.271,2.4,3.2,0.746,0.3,2.3,2.7,2.7,0.5,0.5,2.3,2.3,8.8,indiana state,2011
4,5,Aaron Carter,34.0,24.0,22.9,2.6,6.8,0.391,1.2,2.5,0.465,1.5,4.2,0.347,1.9,2.2,0.853,0.9,1.9,2.9,0.8,0.6,0.5,1.3,2.4,8.6,indiana state,2011
5,6,Myles Walker,34.0,33.0,23.8,2.8,6.1,0.455,2.8,6.1,0.455,0.0,0.0,,0.9,2.2,0.4,1.9,3.4,5.3,0.4,0.5,0.9,1.3,2.9,6.5,indiana state,2011
6,7,Jordan Printy,28.0,4.0,17.9,2.1,4.9,0.438,0.3,1.0,0.286,1.9,3.9,0.477,0.0,0.1,0.25,0.1,0.9,1.0,0.9,0.1,0.0,0.5,1.0,6.2,indiana state,2011
7,8,R.J. Mahurin,34.0,0.0,10.0,1.5,3.4,0.436,0.8,1.4,0.542,0.7,2.0,0.362,0.6,0.8,0.704,0.1,1.5,1.6,0.3,0.3,0.2,0.5,1.6,4.3,indiana state,2011
8,9,Steve McWhorter,34.0,9.0,15.2,1.1,2.3,0.474,0.6,1.1,0.541,0.5,1.2,0.415,0.4,0.7,0.625,0.2,1.2,1.4,1.3,0.7,0.1,0.6,2.2,3.1,indiana state,2011
9,10,Isiah Martin,29.0,2.0,9.0,1.0,2.1,0.475,1.0,2.1,0.483,0.0,0.0,0.0,0.7,1.0,0.724,1.1,0.9,2.1,0.1,0.2,1.0,0.6,1.3,2.7,indiana state,2011
10,11,Koang Doluony,27.0,0.0,8.8,0.7,1.9,0.353,0.3,0.7,0.35,0.4,1.1,0.355,0.5,0.7,0.722,0.8,1.1,2.0,0.3,0.3,0.4,0.6,1.0,2.2,indiana state,2011
11,12,Lucas Eitel,21.0,0.0,5.0,0.3,0.5,0.6,0.2,0.3,0.667,0.1,0.2,0.5,0.1,0.2,0.75,0.0,0.4,0.4,0.3,0.1,0.0,0.0,0.2,0.8,indiana state,2011
12,13,Logan Eitel,10.0,0.0,3.0,0.2,0.5,0.4,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.1,1.0,0.1,0.3,0.4,0.2,0.0,0.0,0.2,0.2,0.5,indiana state,2011
0,1,Jacob Pullen,31.0,30.0,32.6,6.2,14.5,0.426,3.8,8.2,0.461,2.4,6.3,0.381,5.5,7.1,0.773,0.6,2.3,2.9,3.7,1.6,0.1,3.1,1.8,20.2,kansas state,2011
1,2,Rodney McGruder,34.0,33.0,30.6,3.8,8.7,0.439,1.8,3.7,0.48,2.0,5.0,0.408,1.4,2.0,0.71,2.0,3.9,5.9,1.5,0.7,0.2,1.4,1.8,11.1,kansas state,2011
2,3,Curtis Kelly,25.0,21.0,25.4,4.3,8.1,0.532,4.3,8.1,0.53,0.0,0.0,1.0,1.8,3.4,0.535,2.2,3.3,5.5,1.6,0.8,1.3,2.6,3.0,10.5,kansas state,2011
3,4,Jamar Samuels,33.0,20.0,24.5,2.9,7.0,0.413,2.6,5.8,0.45,0.3,1.2,0.231,2.5,3.8,0.653,2.3,3.1,5.4,1.5,0.7,0.5,1.6,3.4,8.5,kansas state,2011
4,5,Will Spradling,34.0,6.0,21.9,1.8,4.6,0.397,0.6,1.4,0.458,1.2,3.2,0.37,1.5,1.9,0.825,0.4,1.2,1.6,1.9,0.8,0.0,1.2,1.9,6.4,kansas state,2011
5,6,Wally Judge,17.0,11.0,15.2,2.1,4.8,0.432,2.1,4.8,0.432,0.0,0.0,,1.4,3.1,0.462,1.9,2.0,3.9,0.9,0.2,0.4,1.6,2.4,5.5,kansas state,2011
6,7,Freddy Asprilla,16.0,13.0,16.3,2.1,4.1,0.5,2.1,4.1,0.5,0.0,0.0,,0.8,2.3,0.333,2.6,2.3,4.9,0.6,0.4,1.1,1.4,2.8,4.9,kansas state,2011
7,8,Nick Russell,25.0,14.0,12.2,1.3,3.6,0.371,0.8,1.8,0.435,0.5,1.7,0.302,1.1,1.3,0.844,0.3,1.6,1.9,1.2,0.4,0.2,1.2,1.7,4.2,kansas state,2011
8,9,Martavious Irving,33.0,0.0,15.2,1.5,3.7,0.41,1.0,2.2,0.452,0.5,1.5,0.347,0.5,1.1,0.457,0.4,0.8,1.2,0.9,0.3,0.1,0.8,1.3,4.0,kansas state,2011
9,10,Jordan Henriquez,34.0,1.0,13.6,1.4,3.0,0.456,1.4,3.0,0.456,0.0,0.0,,0.9,1.7,0.534,1.7,2.6,4.3,0.4,0.2,1.3,0.6,2.3,3.7,kansas state,2011
10,11,Nino Williams,3.0,0.0,6.3,1.0,1.7,0.6,0.7,1.0,0.667,0.3,0.7,0.5,0.0,0.7,0.0,0.3,1.0,1.3,0.0,0.3,0.3,0.3,0.7,2.3,kansas state,2011
11,12,Juevol Myles,19.0,0.0,4.7,0.6,1.0,0.632,0.3,0.6,0.5,0.3,0.4,0.857,0.5,0.8,0.563,0.1,0.2,0.3,0.5,0.1,0.0,0.5,0.4,2.1,kansas state,2011
12,13,Devon Peterson,16.0,0.0,4.7,0.8,1.4,0.545,0.7,1.3,0.524,0.1,0.1,1.0,0.4,0.6,0.6,0.1,0.5,0.6,0.3,0.3,0.0,0.2,0.9,1.9,kansas state,2011
13,14,Victor Ojeleye,24.0,0.0,8.0,0.8,1.6,0.462,0.6,1.3,0.469,0.1,0.3,0.429,0.2,0.3,0.625,0.8,0.9,1.6,0.2,0.3,0.3,0.3,0.7,1.8,kansas state,2011
14,15,Shane Southwell,30.0,16.0,12.6,0.6,1.9,0.339,0.5,1.5,0.356,0.1,0.4,0.273,0.5,0.6,0.824,0.6,1.5,2.1,1.3,0.4,0.5,1.2,1.2,1.8,kansas state,2011
15,16,Alex Potuzak,10.0,0.0,1.9,0.1,0.4,0.25,0.1,0.4,0.25,0.0,0.0,,0.0,0.0,,0.2,0.1,0.3,0.0,0.0,0.0,0.3,0.1,0.2,kansas state,2011
0,1,Marcus Morris,38.0,35.0,28.3,6.3,11.1,0.57,5.6,9.1,0.62,0.7,2.0,0.342,3.9,5.7,0.688,2.6,5.0,7.6,1.6,0.8,0.6,1.8,2.6,17.2,kansas,2011
1,2,Markieff Morris,38.0,34.0,24.4,5.1,8.7,0.589,4.5,7.2,0.625,0.7,1.6,0.424,2.7,4.0,0.673,2.7,5.6,8.3,1.4,0.8,1.1,2.1,2.8,13.6,kansas,2011
2,3,Tyrel Reed,38.0,37.0,28.7,2.9,7.0,0.408,1.0,2.0,0.481,1.9,5.0,0.379,2.1,2.6,0.798,0.6,2.5,3.1,1.7,1.5,0.2,0.9,1.4,9.7,kansas,2011
3,4,Tyshawn Taylor,36.0,30.0,27.1,3.2,6.7,0.479,2.7,5.3,0.505,0.5,1.4,0.38,2.3,3.2,0.719,0.3,1.6,1.9,4.6,1.0,0.3,2.7,1.9,9.3,kansas,2011
4,5,Josh Selby,26.0,11.0,20.4,2.8,7.4,0.373,1.5,3.8,0.384,1.3,3.6,0.362,1.1,1.4,0.757,0.4,1.8,2.2,2.2,0.8,0.0,2.0,1.7,7.9,kansas,2011
5,6,Thomas Robinson,33.0,2.0,14.6,3.1,5.1,0.601,3.1,5.1,0.601,0.0,0.0,,1.5,2.9,0.51,2.2,4.2,6.4,0.6,0.4,0.7,1.3,2.0,7.6,kansas,2011
6,7,Brady Morningstar,38.0,24.0,27.6,2.7,5.4,0.488,1.5,2.7,0.569,1.1,2.8,0.41,0.7,0.9,0.743,0.6,1.7,2.2,3.3,1.4,0.2,1.2,1.8,7.1,kansas,2011
7,8,Mario Little,32.0,1.0,13.7,2.0,4.2,0.481,1.7,3.2,0.515,0.3,0.9,0.367,0.8,1.1,0.694,0.9,2.0,2.9,0.8,0.4,0.3,0.6,1.6,5.1,kansas,2011
8,9,Travis Releford,29.0,3.0,10.4,1.3,2.7,0.5,0.9,1.4,0.61,0.5,1.3,0.378,0.6,0.9,0.64,0.7,0.7,1.4,0.7,0.4,0.1,0.5,0.8,3.7,kansas,2011
9,10,Elijah Johnson,36.0,6.0,13.7,1.3,2.6,0.5,0.7,1.0,0.649,0.6,1.5,0.4,0.3,0.4,0.667,0.2,1.1,1.3,1.8,0.5,0.1,0.8,1.4,3.4,kansas,2011
10,11,Jeff Withey,26.0,1.0,6.2,0.8,1.3,0.647,0.8,1.3,0.647,0.0,0.0,,0.7,1.3,0.515,0.8,1.0,1.8,0.2,0.2,0.7,0.5,1.0,2.3,kansas,2011
11,12,Jordan Juenemann,15.0,0.0,2.3,0.3,0.6,0.556,0.1,0.3,0.25,0.3,0.3,0.8,0.0,0.0,,0.0,0.6,0.6,0.1,0.0,0.0,0.2,0.3,0.9,kansas,2011
12,13,Royce Woolridge,16.0,0.0,2.8,0.2,0.8,0.25,0.1,0.4,0.286,0.1,0.3,0.2,0.1,0.3,0.5,0.1,0.4,0.5,0.6,0.0,0.1,0.3,0.1,0.6,kansas,2011
13,14,Niko Roberts,12.0,0.0,1.8,0.1,0.5,0.167,0.1,0.2,0.5,0.0,0.3,0.0,0.0,0.0,,0.1,0.3,0.4,0.1,0.2,0.0,0.0,0.1,0.2,kansas,2011
0,1,Brandon Knight,38.0,38.0,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,kentucky,2011
1,2,Terrence Jones,38.0,35.0,31.5,5.4,12.3,0.442,4.7,10.2,0.465,0.7,2.1,0.329,4.1,6.4,0.646,2.4,6.4,8.8,1.6,1.1,1.9,2.0,2.4,15.7,kentucky,2011
2,3,Doron Lamb,38.0,14.0,28.4,4.2,8.5,0.497,2.4,4.8,0.505,1.8,3.7,0.486,2.1,2.6,0.79,0.5,1.5,2.0,1.6,0.6,0.2,1.3,2.2,12.3,kentucky,2011
3,4,Darius Miller,38.0,37.0,31.0,3.9,8.2,0.478,2.4,4.8,0.503,1.5,3.4,0.443,1.5,1.8,0.853,1.3,3.2,4.6,1.7,0.8,1.1,1.5,2.6,10.9,kentucky,2011
4,5,DeAndre Liggins,38.0,28.0,31.6,2.9,6.9,0.424,2.0,4.5,0.442,0.9,2.4,0.391,1.8,2.8,0.648,0.6,3.4,4.0,2.5,1.2,0.7,1.4,2.5,8.6,kentucky,2011
5,6,Josh Harrellson,38.0,38.0,28.5,3.3,5.5,0.611,3.3,5.2,0.631,0.1,0.3,0.2,0.9,1.5,0.589,3.7,5.0,8.7,0.8,0.9,1.5,0.7,2.4,7.6,kentucky,2011
6,7,Eloy Vargas,38.0,0.0,7.7,0.5,1.1,0.442,0.5,1.1,0.442,0.0,0.0,,0.5,0.8,0.613,0.9,1.1,2.0,0.1,0.1,0.6,0.3,1.0,1.5,kentucky,2011
7,8,Jon Hood,33.0,0.0,4.8,0.3,1.1,0.243,0.2,0.5,0.333,0.1,0.6,0.158,0.2,0.3,0.556,0.3,0.4,0.7,0.1,0.1,0.1,0.1,0.3,0.8,kentucky,2011
8,9,Jarrod Polson,17.0,0.0,1.8,0.1,0.4,0.143,0.1,0.4,0.167,0.0,0.1,0.0,0.2,0.2,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.4,kentucky,2011
9,10,Stacey Poole,16.0,0.0,2.8,0.1,0.6,0.111,0.0,0.3,0.0,0.1,0.3,0.25,0.1,0.1,0.5,0.2,0.3,0.5,0.1,0.0,0.0,0.1,0.3,0.3,kentucky,2011
0,1,Julian Boyd,33.0,33.0,26.0,4.8,9.2,0.518,4.5,8.2,0.546,0.3,1.0,0.294,3.2,5.1,0.631,3.2,5.8,8.9,1.5,1.0,0.7,1.8,2.8,13.0,long island university,2011
1,2,Jamal Olasewere,33.0,31.0,22.8,4.4,9.1,0.483,4.1,7.7,0.533,0.3,1.4,0.2,3.9,6.3,0.622,2.2,4.6,6.8,1.9,1.3,0.6,3.2,3.6,13.0,long island university,2011
2,3,David Hicks,33.0,32.0,26.2,3.5,8.8,0.401,2.1,4.8,0.425,1.5,3.9,0.372,2.4,3.1,0.767,1.1,2.3,3.4,1.0,0.9,0.2,1.3,1.7,10.9,long island university,2011
3,4,Kyle Johnson,33.0,33.0,26.3,3.7,8.5,0.436,2.2,4.7,0.471,1.5,3.8,0.392,1.9,2.6,0.713,1.7,3.8,5.5,0.9,0.7,0.2,1.2,1.2,10.8,long island university,2011
4,5,C.J. Garner,33.0,33.0,24.9,3.3,7.7,0.433,3.3,7.4,0.443,0.1,0.3,0.2,2.7,4.2,0.64,0.4,1.3,1.6,3.4,1.2,0.2,2.2,1.5,9.4,long island university,2011
5,6,Michael Culpo,33.0,3.0,21.5,2.6,6.2,0.424,1.0,2.2,0.452,1.6,3.9,0.408,0.9,1.4,0.689,1.2,2.1,3.3,0.6,0.6,0.1,0.8,1.1,7.8,long island university,2011
6,7,Kenny Onyechi,33.0,0.0,17.5,2.5,4.0,0.614,2.5,4.0,0.614,0.0,0.0,,2.5,4.9,0.506,1.9,2.2,4.2,0.2,0.5,1.0,1.4,2.9,7.4,long island university,2011
7,8,Jason Brickman,33.0,0.0,22.8,1.8,4.2,0.424,0.4,0.7,0.636,1.4,3.5,0.385,1.3,1.5,0.875,0.2,1.9,2.1,5.5,0.8,0.0,1.9,0.5,6.2,long island university,2011
8,9,Booker Hucks,26.0,0.0,6.4,0.9,1.5,0.575,0.8,1.1,0.724,0.1,0.4,0.182,0.3,0.6,0.6,0.6,0.9,1.5,0.0,0.3,0.3,0.7,1.2,2.2,long island university,2011
9,10,Joel Gierbolini,5.0,0.0,5.0,0.8,1.6,0.5,0.8,1.6,0.5,0.0,0.0,,0.4,0.8,0.5,0.4,0.8,1.2,0.0,0.2,0.4,0.2,1.6,2.0,long island university,2011
