,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
11,12,Vance White,2.0,0.0,8.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,10.0,jackson state,1997
12,13,Marino Walker,25.0,20.0,595.0,2.8,7.3,0.385,2.2,5.2,0.41,0.7,2.1,0.323,3.6,5.2,0.701,3.8,4.8,1.5,0.1,5.0,3.6,9.9,jackson state,1997
13,14,Jermaine Harden,28.0,3.0,305.0,3.9,9.6,0.411,3.9,9.6,0.411,0.0,0.0,,1.4,4.2,0.344,11.8,1.7,1.2,0.5,4.5,7.0,9.3,jackson state,1997
14,15,Chuck Nwagwu,9.0,3.0,138.0,2.6,6.4,0.409,2.6,5.5,0.474,0.0,0.9,0.0,2.6,5.5,0.474,5.2,2.3,2.6,0.0,1.4,4.1,7.8,jackson state,1997
15,16,Terry Bradley,21.0,0.0,183.0,3.1,8.1,0.378,2.4,4.8,0.5,0.7,3.3,0.2,0.4,2.6,0.167,4.2,2.4,1.3,0.0,3.3,2.6,7.2,jackson state,1997
16,17,Sorrell Valentine,18.0,0.0,104.0,3.1,6.9,0.444,3.1,6.2,0.5,0.0,0.8,0.0,0.8,1.9,0.4,1.5,4.6,0.8,0.0,4.2,1.9,6.9,jackson state,1997
17,18,Sean Washington,11.0,0.0,88.0,0.9,2.7,0.333,0.9,2.3,0.4,0.0,0.5,0.0,0.0,1.8,0.0,3.2,7.3,3.2,0.0,5.9,6.4,1.8,jackson state,1997
0,1,Raef LaFrentz,36.0,36.0,1041.0,10.0,17.2,0.584,10.0,16.9,0.59,0.0,0.2,0.167,5.5,7.2,0.761,12.9,1.0,1.3,1.8,2.5,3.7,25.6,kansas,1997
1,2,Paul Pierce,36.0,35.0,1013.0,8.5,17.4,0.488,7.2,14.6,0.492,1.3,2.8,0.465,4.9,6.8,0.717,9.6,3.0,2.4,1.1,4.3,3.9,23.2,kansas,1997
2,3,Terry Nooner,21.0,0.0,38.0,8.4,21.1,0.4,4.2,8.4,0.5,4.2,12.6,0.333,1.1,2.1,0.5,8.4,3.2,4.2,1.1,6.3,2.1,22.1,kansas,1997
3,4,Billy Thomas,36.0,0.0,573.0,6.8,16.9,0.401,1.7,4.5,0.375,5.1,12.4,0.41,0.8,1.0,0.733,4.5,1.9,1.9,0.3,2.6,1.9,19.4,kansas,1997
4,5,Jerod Haase,36.0,36.0,934.0,6.0,12.2,0.495,4.6,8.2,0.557,1.5,4.0,0.366,5.0,7.1,0.705,5.7,4.8,2.9,0.2,3.9,3.2,18.5,kansas,1997
5,6,Joel Branstrom,22.0,0.0,45.0,6.2,10.7,0.583,6.2,10.7,0.583,0.0,0.0,,5.3,12.4,0.429,6.2,2.7,1.8,1.8,4.4,5.3,17.8,kansas,1997
6,7,Scot Pollard,28.0,26.0,702.0,5.4,10.1,0.528,5.3,10.1,0.525,0.1,0.1,1.0,5.6,8.0,0.707,13.2,1.1,2.0,4.2,2.4,3.9,16.4,kansas,1997
7,8,Steve Ransom,21.0,0.0,40.0,6.0,16.0,0.375,6.0,15.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,8.0,1.0,1.0,0.0,2.0,7.0,16.0,kansas,1997
8,9,Jacque Vaughn,26.0,25.0,820.0,3.9,9.0,0.427,3.0,6.4,0.466,0.9,2.6,0.333,4.3,5.5,0.779,3.0,7.9,2.2,0.2,3.1,2.9,12.9,kansas,1997
9,10,T.J. Pugh,36.0,0.0,412.0,4.7,8.6,0.539,4.6,8.0,0.573,0.1,0.7,0.143,3.0,5.8,0.517,7.2,0.8,0.6,0.6,2.7,5.7,12.4,kansas,1997
10,11,Nick Bradford,34.0,0.0,253.0,5.2,13.0,0.402,4.7,9.5,0.5,0.5,3.5,0.136,1.4,4.0,0.36,6.8,3.8,1.7,1.6,5.7,6.2,12.3,kansas,1997
11,12,Ryan Robertson,36.0,11.0,654.0,3.1,7.3,0.417,1.6,3.8,0.419,1.5,3.5,0.414,2.3,2.8,0.804,3.3,6.1,1.0,0.4,2.8,3.9,9.8,kansas,1997
