,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
7,8,Jai Lucas,35.0,0.0,425.0,4.0,10.8,0.365,2.8,6.3,0.448,1.1,4.5,0.25,1.1,1.8,0.632,2.7,3.5,0.8,0.1,2.2,2.4,10.2,texas,2011
8,9,Alexis Wangmene,34.0,0.0,329.0,2.1,5.7,0.362,2.1,5.7,0.362,0.0,0.0,,5.2,6.6,0.796,9.5,0.4,1.3,1.0,3.4,8.3,9.4,texas,2011
9,10,Dogus Balbay,36.0,36.0,688.0,3.5,6.0,0.583,3.5,5.9,0.594,0.0,0.1,0.0,1.6,2.7,0.574,5.6,4.7,1.7,0.6,2.2,4.7,8.5,texas,2011
10,11,Matt Hill,36.0,2.0,492.0,1.6,3.4,0.476,1.6,3.4,0.476,0.0,0.0,,1.4,2.5,0.548,9.0,1.2,0.7,1.9,1.3,4.3,4.6,texas,2011
11,12,Trent Morgan,5.0,0.0,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.7,0.0,5.7,0.0,5.7,0.0,0.0,texas,2011
0,1,Tyler Trapani,3.0,0.0,2.0,20.0,20.0,1.0,20.0,20.0,1.0,0.0,0.0,,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,40.0,ucla,2011
1,2,Joshua Smith,33.0,15.0,717.0,7.4,13.3,0.555,7.4,13.3,0.555,0.0,0.0,,5.3,8.6,0.613,11.7,1.2,1.5,1.9,2.9,5.8,20.0,ucla,2011
2,3,Reeves Nelson,34.0,33.0,1066.0,6.6,11.7,0.567,6.5,10.9,0.595,0.2,0.8,0.19,4.4,7.0,0.62,11.6,2.0,0.5,0.5,3.1,2.9,17.8,ucla,2011
3,4,Malcolm Lee,33.0,33.0,1093.0,5.2,11.8,0.437,3.7,7.0,0.534,1.4,4.8,0.295,4.1,5.3,0.778,3.7,2.5,0.8,0.3,2.0,2.9,15.8,ucla,2011
4,5,Tyler Honeycutt,33.0,33.0,1154.0,5.0,12.3,0.406,3.1,7.0,0.438,1.9,5.3,0.362,2.7,3.7,0.736,8.2,3.2,1.0,2.3,3.5,1.8,14.6,ucla,2011
5,6,Lazeric Jones,34.0,33.0,965.0,4.2,10.9,0.386,2.7,6.6,0.409,1.5,4.4,0.352,2.8,3.5,0.81,2.9,5.1,1.4,0.5,3.0,3.6,12.8,ucla,2011
6,7,Jerime Anderson,34.0,3.0,684.0,3.3,7.8,0.421,1.9,4.2,0.451,1.4,3.6,0.387,2.2,3.2,0.691,3.5,5.2,1.7,0.3,2.9,3.3,10.2,ucla,2011
7,8,Blake Arnet,7.0,0.0,9.0,0.0,4.4,0.0,0.0,0.0,,0.0,4.4,0.0,8.9,8.9,1.0,4.4,0.0,0.0,0.0,13.3,0.0,8.9,ucla,2011
8,9,Tyler Lamb,34.0,2.0,416.0,3.1,9.4,0.327,2.3,5.7,0.407,0.8,3.8,0.205,1.6,2.3,0.708,3.4,3.0,1.4,0.6,3.1,3.5,8.6,ucla,2011
9,10,Brendan Lane,33.0,5.0,508.0,2.9,5.8,0.5,2.4,4.6,0.534,0.5,1.3,0.375,1.4,2.7,0.529,8.0,1.1,0.9,2.0,1.7,4.8,7.7,ucla,2011
10,11,Anthony Stover,32.0,12.0,254.0,1.3,3.6,0.348,1.3,3.6,0.348,0.0,0.0,,0.8,2.7,0.294,7.7,0.0,0.6,4.4,2.4,5.8,3.3,ucla,2011
11,12,Matt DeMarcus,3.0,0.0,2.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,20.0,0.0,ucla,2011
12,13,Jack Haley,2.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,,20.0,0.0,10.0,0.0,10.0,20.0,0.0,ucla,2011
13,14,Alex Schrempf,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ucla,2011
0,1,Tai Wesley,34.0,34.0,993.0,7.1,11.8,0.599,6.9,11.5,0.598,0.2,0.3,0.625,5.8,8.2,0.711,10.9,2.9,1.1,1.5,3.1,4.4,20.2,utah state,2011
1,2,Brian Green,34.0,1.0,856.0,5.6,11.6,0.482,2.1,4.1,0.506,3.6,7.6,0.469,1.9,2.6,0.745,3.6,2.7,0.9,0.0,1.2,2.1,16.7,utah state,2011
2,3,Brockeith Pane,34.0,32.0,961.0,5.1,11.7,0.436,4.5,8.6,0.519,0.7,3.2,0.211,5.7,7.2,0.802,4.3,4.8,1.3,0.1,3.7,2.9,16.6,utah state,2011
3,4,Brady Jardine,34.0,7.0,729.0,5.4,10.0,0.541,5.4,9.9,0.541,0.1,0.1,0.5,3.0,4.7,0.647,13.0,0.9,1.0,1.9,2.2,4.4,13.9,utah state,2011
4,5,Pooh Williams,34.0,33.0,881.0,4.3,11.3,0.378,2.0,5.0,0.391,2.3,6.3,0.367,2.5,3.0,0.821,2.5,3.4,0.3,0.1,2.1,2.9,13.3,utah state,2011
5,6,Nate Bendall,31.0,27.0,630.0,5.1,10.6,0.485,5.1,10.5,0.491,0.0,0.1,0.0,2.6,3.5,0.745,11.5,0.8,0.8,0.6,2.1,4.9,12.9,utah state,2011
6,7,Morgan Grim,32.0,0.0,277.0,4.5,9.4,0.477,4.5,9.2,0.484,0.0,0.1,0.0,3.2,5.1,0.629,7.5,1.3,0.9,1.6,2.6,5.6,12.1,utah state,2011
7,8,E.J. Farris,21.0,0.0,153.0,3.7,11.0,0.333,1.6,4.7,0.333,2.1,6.3,0.333,1.0,1.3,0.8,2.9,3.4,0.8,0.0,3.4,4.4,10.5,utah state,2011
8,9,Brad Brown,13.0,0.0,23.0,1.7,8.7,0.2,0.0,3.5,0.0,1.7,5.2,0.333,5.2,7.0,0.75,1.7,0.0,0.0,1.7,1.7,3.5,10.4,utah state,2011
9,10,Tyler Newbold,34.0,34.0,997.0,3.0,7.4,0.411,1.4,2.6,0.53,1.6,4.8,0.345,1.6,2.0,0.765,6.0,3.8,1.0,0.3,1.2,2.0,9.3,utah state,2011
10,11,Matt Formisano,18.0,0.0,111.0,3.2,7.2,0.45,3.2,7.2,0.45,0.0,0.0,,2.5,4.0,0.636,8.3,1.1,0.7,0.0,1.1,2.2,9.0,utah state,2011
11,12,James Walker,25.0,1.0,239.0,2.7,7.9,0.34,1.5,3.5,0.429,1.2,4.4,0.269,2.2,3.3,0.65,4.0,5.2,1.8,0.7,3.0,5.2,8.7,utah state,2011
0,1,John Jenkins,32.0,32.0,1105.0,6.9,14.9,0.462,3.3,6.0,0.542,3.6,8.9,0.408,5.2,5.8,0.894,3.4,1.4,0.9,0.4,1.9,1.6,22.6,vanderbilt,2011
1,2,Festus Ezeli,34.0,34.0,799.0,7.6,12.9,0.588,7.6,12.9,0.588,0.0,0.0,,7.0,10.8,0.648,10.7,0.3,1.0,4.4,3.0,5.2,22.1,vanderbilt,2011
2,3,Joe Duffy,14.0,0.0,53.0,6.0,10.6,0.571,3.8,7.5,0.5,2.3,3.0,0.75,4.5,6.8,0.667,9.1,2.3,0.8,0.0,2.3,6.0,18.9,vanderbilt,2011
3,4,Jeffery Taylor,34.0,33.0,1078.0,6.3,14.1,0.449,4.9,9.9,0.493,1.4,4.2,0.345,4.5,6.2,0.719,7.0,3.0,1.3,0.7,3.2,3.1,18.6,vanderbilt,2011
4,5,Brad Tinsley,34.0,34.0,1111.0,4.1,9.5,0.436,2.5,5.1,0.493,1.6,4.4,0.369,3.0,3.7,0.824,4.5,5.6,1.0,0.3,2.3,1.3,12.9,vanderbilt,2011
5,6,Steve Tchiengang,34.0,0.0,559.0,3.8,8.4,0.449,2.2,4.7,0.477,1.6,3.8,0.415,2.4,3.2,0.756,7.3,1.1,0.8,0.9,2.4,5.2,11.6,vanderbilt,2011
6,7,Lance Goulbourne,32.0,21.0,799.0,3.4,8.1,0.422,2.6,5.2,0.505,0.8,2.9,0.276,3.4,4.8,0.708,11.8,2.2,0.9,0.7,2.4,3.1,11.0,vanderbilt,2011
7,8,Rod Odom,34.0,8.0,533.0,3.5,8.6,0.409,1.4,3.0,0.475,2.1,5.6,0.373,0.8,1.2,0.625,6.6,0.9,1.1,0.3,2.9,5.3,9.9,vanderbilt,2011
8,9,Andre Walker,15.0,8.0,265.0,2.7,6.2,0.439,2.6,5.9,0.436,0.2,0.3,0.5,1.2,1.4,0.889,6.8,5.9,1.5,0.8,2.7,3.8,6.8,vanderbilt,2011
9,10,Kyle Fuller,34.0,0.0,499.0,1.9,6.3,0.308,1.4,3.9,0.347,0.6,2.3,0.241,0.6,1.3,0.5,3.7,4.4,1.0,0.1,2.7,3.5,5.1,vanderbilt,2011
10,11,Jordan Smart,14.0,0.0,47.0,1.7,4.3,0.4,0.0,0.0,,1.7,4.3,0.4,0.0,0.0,,6.8,3.4,0.0,0.9,0.9,1.7,5.1,vanderbilt,2011
11,12,Chris Meriweather,12.0,0.0,19.0,2.1,16.8,0.125,2.1,12.6,0.167,0.0,4.2,0.0,0.0,0.0,,8.4,6.3,0.0,0.0,2.1,0.0,4.2,vanderbilt,2011
12,13,Aaron Noll,4.0,0.0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,vanderbilt,2011
0,1,Corey Fisher,33.0,32.0,1101.0,6.0,14.3,0.419,4.1,8.5,0.481,1.9,5.8,0.327,4.8,6.1,0.786,3.3,5.8,1.8,0.1,2.7,2.8,18.7,villanova,2011
1,2,Maalik Wayns,33.0,28.0,994.0,5.7,14.2,0.399,4.4,9.5,0.464,1.3,4.7,0.271,5.7,6.9,0.82,3.7,6.0,1.5,0.0,3.7,3.1,18.3,villanova,2011
2,3,Corey Stokes,29.0,28.0,957.0,5.4,12.5,0.433,1.7,3.9,0.436,3.7,8.6,0.432,3.5,3.9,0.894,4.0,1.6,1.1,0.3,1.7,2.8,18.1,villanova,2011
3,4,Mouphtaou Yarou,33.0,33.0,796.0,5.0,10.1,0.498,5.0,10.1,0.498,0.0,0.0,,3.8,5.8,0.661,11.7,0.7,0.7,1.7,2.1,3.9,13.9,villanova,2011
4,5,Antonio Pena,33.0,33.0,1083.0,4.9,9.8,0.502,4.8,9.5,0.51,0.1,0.3,0.25,2.0,2.9,0.684,8.7,1.8,1.2,0.8,2.1,2.5,11.9,villanova,2011
5,6,Dominic Cheek,32.0,3.0,622.0,3.8,10.5,0.36,2.2,5.3,0.415,1.6,5.3,0.305,2.3,3.0,0.761,7.1,1.4,1.6,0.5,1.7,4.2,11.4,villanova,2011
6,7,James Bell,25.0,0.0,226.0,3.5,8.5,0.417,1.8,3.0,0.588,1.8,5.5,0.323,1.9,2.5,0.786,5.7,0.9,1.4,0.4,1.1,5.8,10.8,villanova,2011
7,8,Maurice Sutton,27.0,0.0,285.0,2.9,5.5,0.538,2.9,5.5,0.538,0.0,0.0,,3.4,5.6,0.6,8.8,0.8,0.6,3.9,2.5,7.4,9.3,villanova,2011
8,9,Isaiah Armwood,32.0,8.0,544.0,2.0,4.0,0.491,2.0,4.0,0.491,0.0,0.0,,1.8,2.9,0.625,8.5,0.7,0.7,1.8,2.1,4.0,5.8,villanova,2011
9,10,Dallas Ouano,3.0,0.0,9.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,4.4,0.0,4.4,0.0,0.0,villanova,2011
10,11,Russell Wooten,7.0,0.0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,villanova,2011
0,1,Jamie Skeen,39.0,39.0,1245.0,6.4,12.3,0.518,5.2,9.5,0.547,1.2,2.8,0.419,5.8,8.0,0.719,9.2,2.0,0.7,1.3,2.1,2.5,19.6,virginia commonwealth,2011
1,2,Brandon Rozzell,32.0,4.0,808.0,5.9,14.5,0.411,2.1,4.8,0.438,3.9,9.7,0.398,2.4,3.1,0.79,3.8,2.2,2.1,0.0,1.4,2.7,18.2,virginia commonwealth,2011
2,3,Troy Daniels,27.0,1.0,126.0,5.7,18.7,0.305,0.0,1.6,0.0,5.7,17.1,0.333,0.3,1.0,0.333,6.7,0.3,1.6,0.0,1.3,5.4,17.5,virginia commonwealth,2011
3,4,Bradford Burgess,40.0,40.0,1380.0,5.6,11.5,0.487,3.5,6.7,0.526,2.1,4.8,0.434,3.3,4.3,0.753,7.3,1.9,1.2,0.9,1.8,2.5,16.6,virginia commonwealth,2011
4,5,Rob Brandenberg,39.0,1.0,535.0,5.0,12.3,0.409,2.7,5.6,0.48,2.3,6.7,0.348,2.1,3.3,0.636,5.0,1.6,2.1,0.7,1.6,3.3,14.4,virginia commonwealth,2011
5,6,Juvonte Reddic,36.0,13.0,402.0,5.0,10.7,0.463,5.0,10.7,0.463,0.0,0.0,,2.6,4.0,0.65,7.0,1.0,1.6,0.7,3.2,6.3,12.5,virginia commonwealth,2011
6,7,Joey Rodriguez,40.0,40.0,1343.0,3.8,10.9,0.344,1.7,4.8,0.354,2.1,6.1,0.337,2.8,3.4,0.816,3.8,6.2,1.8,0.1,2.7,2.6,12.3,virginia commonwealth,2011
7,8,Ed Nixon,40.0,36.0,998.0,4.0,9.7,0.416,2.8,6.0,0.467,1.2,3.7,0.333,1.8,2.5,0.742,4.1,3.1,1.8,0.6,2.4,4.2,11.2,virginia commonwealth,2011
8,9,Toby Veal,30.0,6.0,299.0,4.5,9.1,0.5,4.5,9.1,0.5,0.0,0.0,,0.8,2.4,0.333,8.7,0.7,1.6,1.1,1.5,6.4,9.9,virginia commonwealth,2011
9,10,Darius Theus,40.0,9.0,614.0,2.5,7.1,0.349,2.2,5.3,0.42,0.3,1.8,0.143,2.7,4.0,0.661,4.1,5.5,2.7,0.6,3.6,6.0,7.9,virginia commonwealth,2011
10,11,David Hinton,19.0,0.0,67.0,3.0,4.8,0.625,3.0,4.8,0.625,0.0,0.0,,1.2,4.8,0.25,1.8,0.6,1.2,1.8,1.2,4.8,7.2,virginia commonwealth,2011
11,12,DJ Haley,37.0,11.0,283.0,2.5,4.7,0.545,2.5,4.7,0.545,0.0,0.0,,0.7,1.7,0.417,8.1,0.3,1.1,2.3,1.4,7.3,5.8,virginia commonwealth,2011
0,1,Matthew Bryan-Amaning,35.0,31.0,986.0,8.7,16.0,0.546,8.7,15.9,0.547,0.0,0.0,0.0,4.2,6.8,0.619,11.4,1.0,1.5,2.2,2.3,4.1,21.7,washington,2011
1,2,Isaiah Thomas,35.0,35.0,1115.0,6.7,15.1,0.445,4.6,9.0,0.512,2.2,6.2,0.349,5.4,7.5,0.719,4.4,7.6,1.7,0.1,3.7,2.7,21.1,washington,2011
2,3,C.J. Wilcox,33.0,6.0,523.0,6.9,16.4,0.419,2.1,4.4,0.466,4.8,12.0,0.401,1.9,2.4,0.806,5.2,2.2,1.1,0.8,1.6,3.1,20.5,washington,2011
3,4,Terrence Ross,34.0,4.0,593.0,6.9,15.5,0.443,3.9,7.1,0.552,3.0,8.4,0.352,1.7,2.2,0.758,6.5,2.2,1.3,0.8,1.6,4.7,18.4,washington,2011
4,5,Scott Suggs,31.0,10.0,566.0,5.9,12.1,0.485,2.4,4.4,0.548,3.5,7.7,0.45,0.9,1.2,0.765,4.2,2.4,0.6,0.5,2.4,3.9,16.1,washington,2011
5,6,Justin Holiday,35.0,35.0,989.0,5.6,12.0,0.465,3.7,6.7,0.548,1.9,5.3,0.359,1.8,2.3,0.772,7.4,3.0,1.7,1.1,2.1,2.9,14.8,washington,2011
6,7,Abdul Gaddy,13.0,13.0,301.0,5.8,11.7,0.5,4.1,7.4,0.554,1.7,4.3,0.406,1.2,1.5,0.818,4.3,6.5,1.3,0.1,2.1,3.2,14.6,washington,2011
7,8,Venoy Overton,31.0,5.0,652.0,3.8,9.0,0.425,3.2,6.5,0.491,0.6,2.5,0.25,3.2,4.8,0.658,4.9,6.3,2.2,0.5,2.8,4.6,11.4,washington,2011
8,9,Darnell Gant,35.0,11.0,654.0,4.2,10.5,0.401,3.1,7.6,0.411,1.1,2.9,0.375,1.5,2.0,0.781,8.1,1.4,0.6,1.1,1.7,5.3,11.1,washington,2011
9,10,Aziz N'Diaye,35.0,25.0,608.0,4.3,7.5,0.579,4.3,7.5,0.579,0.0,0.0,,2.0,4.7,0.417,13.2,0.5,0.6,2.6,2.6,6.8,10.7,washington,2011
10,11,Antoine Hosley,14.0,0.0,31.0,2.6,10.3,0.25,1.3,2.6,0.5,1.3,7.7,0.167,2.6,2.6,1.0,3.9,2.6,0.0,0.0,1.3,5.2,9.0,washington,2011
11,12,Brendan Sherrer,13.0,0.0,32.0,2.5,3.8,0.667,2.5,3.8,0.667,0.0,0.0,,0.0,0.0,,3.8,0.0,2.5,0.0,3.8,5.0,5.0,washington,2011
0,1,Casey Mitchell,30.0,16.0,706.0,7.6,18.1,0.42,3.8,8.0,0.472,3.8,10.0,0.379,4.2,4.8,0.871,4.8,1.9,1.2,0.4,2.8,2.1,23.2,west virginia,2011
1,2,Kevin Noreen,7.0,0.0,39.0,7.2,8.2,0.875,7.2,8.2,0.875,0.0,0.0,,4.1,8.2,0.5,12.3,4.1,1.0,0.0,2.1,11.3,18.5,west virginia,2011
2,3,Darryl Bryant,32.0,31.0,850.0,4.6,13.8,0.334,2.7,8.0,0.343,1.9,5.8,0.323,5.8,7.1,0.827,3.6,4.5,1.3,0.0,3.2,3.0,16.9,west virginia,2011
3,4,Deniz Kilicli,33.0,11.0,540.0,6.7,13.7,0.486,6.7,13.7,0.486,0.0,0.0,,2.8,5.0,0.567,9.7,2.1,0.4,1.0,4.3,6.4,16.1,west virginia,2011
4,5,Kevin Jones,33.0,32.0,1152.0,6.0,13.5,0.446,4.9,9.9,0.498,1.1,3.6,0.301,1.9,3.2,0.604,8.5,1.3,0.6,0.6,1.2,2.3,15.0,west virginia,2011
5,6,Jonnie West,23.0,0.0,186.0,4.3,11.2,0.385,0.9,2.2,0.4,3.4,9.0,0.381,2.2,2.2,1.0,3.2,1.7,0.0,0.0,0.6,2.4,14.2,west virginia,2011
6,7,Dalton Pepper,32.0,1.0,396.0,4.3,11.4,0.381,2.1,4.7,0.447,2.2,6.7,0.333,1.7,2.2,0.773,5.2,1.6,0.9,0.1,1.9,2.5,12.6,west virginia,2011
7,8,John Flowers,33.0,32.0,984.0,4.2,8.9,0.473,3.4,6.3,0.535,0.9,2.6,0.323,3.0,4.0,0.758,8.3,2.2,1.1,3.0,2.0,4.1,12.4,west virginia,2011
8,9,Joe Mazzulla,33.0,16.0,951.0,3.2,6.9,0.46,2.8,5.6,0.496,0.4,1.3,0.3,4.0,6.0,0.669,5.3,5.8,1.1,0.2,2.6,3.3,10.7,west virginia,2011
9,10,Dan Jennings,14.0,4.0,121.0,3.3,5.6,0.588,3.3,5.6,0.588,0.0,0.0,,3.0,6.9,0.429,11.6,0.0,0.3,3.6,3.3,6.9,9.6,west virginia,2011
10,11,Cam Thoroughman,33.0,17.0,659.0,1.8,3.9,0.453,1.8,3.8,0.468,0.0,0.1,0.0,1.8,3.2,0.577,7.9,4.4,1.0,0.5,1.9,5.6,5.3,west virginia,2011
11,12,Craig Carey,3.0,0.0,4.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,,10.0,10.0,0.0,0.0,20.0,0.0,0.0,west virginia,2011
12,13,Jake Ferguson,2.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,west virginia,2011
13,14,Kenny Ross,5.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,4.0,0.0,west virginia,2011
0,1,Jon Leuer,34.0,34.0,1139.0,8.0,17.0,0.47,6.1,11.8,0.513,1.9,5.1,0.37,4.0,4.7,0.843,8.6,2.0,0.6,1.1,1.9,2.6,21.8,wisconsin,2011
1,2,Jordan Taylor,34.0,34.0,1241.0,6.3,14.4,0.433,3.8,8.8,0.436,2.4,5.6,0.429,5.0,6.0,0.832,4.5,5.2,0.8,0.2,1.4,2.6,19.9,wisconsin,2011
2,3,Keaton Nankivil,34.0,34.0,949.0,5.1,10.2,0.496,2.6,4.8,0.54,2.5,5.4,0.457,1.3,1.6,0.838,6.1,1.0,0.7,1.8,1.2,2.8,13.9,wisconsin,2011
3,4,Jared Berggren,29.0,1.0,200.0,5.4,11.0,0.491,4.0,6.6,0.606,1.4,4.4,0.318,1.6,2.6,0.615,6.2,1.8,0.2,2.0,2.8,7.4,13.8,wisconsin,2011
4,5,Ryan Evans,34.0,0.0,393.0,3.4,10.8,0.311,3.4,10.5,0.32,0.0,0.3,0.0,3.0,4.0,0.744,8.0,1.6,0.6,1.1,2.3,4.0,9.7,wisconsin,2011
5,6,Mike Bruesewitz,34.0,13.0,675.0,3.4,7.2,0.471,2.2,3.5,0.627,1.2,3.7,0.323,1.3,1.7,0.759,6.2,2.0,0.6,0.2,1.7,3.7,9.2,wisconsin,2011
6,7,Ben Brust,15.0,0.0,45.0,3.6,14.2,0.25,1.8,5.3,0.333,1.8,8.9,0.2,0.0,0.0,,6.2,0.9,0.9,0.0,1.8,4.4,8.9,wisconsin,2011
7,8,Robert Wilson,23.0,2.0,168.0,3.3,10.0,0.333,3.1,6.0,0.52,0.2,4.0,0.059,1.7,1.9,0.875,5.5,1.9,0.5,0.0,1.4,3.3,8.6,wisconsin,2011
8,9,Josh Gasser,34.0,30.0,956.0,2.8,6.0,0.472,2.1,3.4,0.605,0.8,2.6,0.302,2.0,2.3,0.855,5.5,3.1,0.7,0.1,1.3,3.3,8.5,wisconsin,2011
9,10,Brett Valentyn,24.0,0.0,123.0,2.6,7.5,0.348,0.0,0.0,,2.6,7.5,0.348,0.3,0.7,0.5,2.9,1.3,0.3,0.0,1.3,3.9,8.1,wisconsin,2011
10,11,Tim Jarmusz,34.0,21.0,805.0,2.0,5.2,0.381,0.4,0.8,0.5,1.6,4.4,0.36,1.0,1.1,0.913,3.7,2.1,1.1,0.0,0.6,1.7,6.6,wisconsin,2011
11,12,Duje Dukan,8.0,0.0,15.0,2.7,10.7,0.25,2.7,10.7,0.25,0.0,0.0,,0.0,0.0,,13.3,0.0,0.0,0.0,0.0,2.7,5.3,wisconsin,2011
12,13,J.P. Gavinski,6.0,0.0,9.0,0.0,13.3,0.0,0.0,13.3,0.0,0.0,0.0,,4.4,8.9,0.5,8.9,0.0,0.0,0.0,4.4,8.9,4.4,wisconsin,2011
13,14,Wquinton Smith,26.0,1.0,128.0,1.6,5.0,0.313,1.3,3.4,0.364,0.3,1.6,0.2,0.6,1.9,0.333,3.8,3.8,0.6,0.0,1.3,3.8,4.1,wisconsin,2011
14,15,Dan Fahey,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisconsin,2011
15,16,J.D. Wise,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisconsin,2011
0,1,Noah Dahlman,34.0,34.0,1065.0,9.6,15.7,0.612,9.6,15.6,0.613,0.0,0.0,0.0,6.5,8.5,0.758,7.2,1.5,1.0,0.5,1.5,2.8,25.6,wofford,2011
1,2,Cameron Rundles,34.0,34.0,1124.0,5.5,12.7,0.435,2.8,6.0,0.476,2.7,6.7,0.399,3.2,4.8,0.664,4.6,3.0,1.4,0.1,1.8,2.7,16.9,wofford,2011
2,3,Matt Steelman,14.0,0.0,36.0,5.6,12.2,0.455,0.0,2.2,0.0,5.6,10.0,0.556,0.0,0.0,,2.2,2.2,0.0,0.0,1.1,6.7,16.7,wofford,2011
3,4,Jamar Diggs,33.0,33.0,1062.0,5.4,12.7,0.424,4.4,9.8,0.446,1.0,2.9,0.351,3.8,5.0,0.761,3.9,3.8,2.2,1.0,2.2,3.6,15.6,wofford,2011
4,5,Terry Martin,34.0,2.0,512.0,5.0,10.9,0.457,4.9,10.6,0.463,0.1,0.3,0.25,5.4,7.2,0.75,9.0,1.7,0.9,0.6,3.6,8.0,15.5,wofford,2011
5,6,Kevin Giltner,34.0,1.0,711.0,4.0,9.4,0.425,1.1,2.4,0.452,2.9,7.0,0.416,1.0,1.7,0.548,2.7,1.2,1.0,0.1,1.4,3.3,11.9,wofford,2011
6,7,Taylor Wagener,13.0,0.0,52.0,2.3,7.7,0.3,0.0,0.0,,2.3,7.7,0.3,4.6,6.9,0.667,5.4,5.4,0.0,0.0,6.9,6.2,11.5,wofford,2011
7,8,Nathan Parker,12.0,0.0,114.0,3.2,6.0,0.529,2.1,3.9,0.545,1.1,2.1,0.5,1.8,3.2,0.556,9.1,1.8,0.4,2.5,4.6,4.6,9.1,wofford,2011
8,9,Cameron McQueen,4.0,0.0,9.0,4.4,13.3,0.333,4.4,13.3,0.333,0.0,0.0,,0.0,0.0,,17.8,0.0,0.0,0.0,8.9,4.4,8.9,wofford,2011
9,10,Drew Crowell,28.0,0.0,181.0,4.4,6.2,0.714,4.4,6.2,0.714,0.0,0.0,,0.0,0.0,,5.7,0.9,0.0,0.9,0.7,3.1,8.8,wofford,2011
10,11,Tim Johnson,34.0,33.0,973.0,3.3,7.4,0.444,3.3,7.4,0.444,0.0,0.0,,1.8,4.2,0.446,11.8,3.5,1.8,0.8,2.9,4.3,8.4,wofford,2011
11,12,Brad Loesing,34.0,33.0,1048.0,2.8,6.7,0.42,1.6,3.9,0.417,1.2,2.8,0.425,1.2,1.4,0.889,1.9,4.2,1.0,0.2,2.8,3.6,8.1,wofford,2011
12,13,Aerris Smith,11.0,0.0,31.0,2.6,10.3,0.25,2.6,10.3,0.25,0.0,0.0,,1.3,3.9,0.333,5.2,1.3,0.0,0.0,0.0,2.6,6.5,wofford,2011
13,14,Joseph Tecklenburg,12.0,0.0,32.0,1.3,3.8,0.333,1.3,3.8,0.333,0.0,0.0,,1.3,2.5,0.5,3.8,2.5,2.5,1.3,6.3,6.3,3.8,wofford,2011
0,1,Tu Holloway,32.0,32.0,1228.0,5.5,12.9,0.424,3.5,7.2,0.486,2.0,5.7,0.345,7.7,8.8,0.87,5.2,5.7,1.5,0.1,3.6,2.0,20.6,xavier,2011
1,2,Kenny Frease,32.0,29.0,911.0,6.9,12.6,0.549,6.9,12.6,0.551,0.0,0.0,0.0,2.6,3.7,0.702,9.9,1.7,0.4,1.1,1.9,3.0,16.5,xavier,2011
2,3,Mark Lyons,32.0,31.0,1122.0,5.1,12.6,0.408,3.5,7.6,0.455,1.7,5.0,0.336,3.5,4.8,0.728,3.5,3.5,1.0,0.4,3.2,2.9,15.5,xavier,2011
3,4,Jamel McLean,31.0,31.0,936.0,5.0,9.4,0.539,5.0,9.2,0.546,0.0,0.1,0.0,4.0,6.5,0.612,11.2,1.0,0.8,1.1,2.0,3.3,14.1,xavier,2011
4,5,Johnny Mazza,7.0,0.0,9.0,4.4,8.9,0.5,0.0,0.0,,4.4,8.9,0.5,0.0,0.0,,4.4,8.9,0.0,0.0,0.0,8.9,13.3,xavier,2011
5,6,Griffin McKenzie,17.0,0.0,42.0,4.8,8.6,0.556,1.0,2.9,0.333,3.8,5.7,0.667,0.0,0.0,,8.6,2.9,0.0,1.0,1.9,3.8,13.3,xavier,2011
6,7,Jeff Robinson,32.0,4.0,538.0,4.3,8.3,0.523,4.1,7.1,0.579,0.2,1.2,0.188,1.7,2.5,0.697,7.3,0.4,1.0,1.3,1.6,6.3,10.6,xavier,2011
